103,INT1332,2020,2021,1,4,70,90,1
104,BAS1201,2020,2021,3,3,121,152,1
105,INT1336,2020,2021,2,5,80,120,1
106,INT1306,2020,2021,3,4,100,230,1
107,INT1328,2020,2021,2,4,90,160,1
108,INT1155,2020,2021,2,5,80,100,1
110,INT1362,2020,2021,2,10,90,150,1
111,INT1340,2020,2021,2,13,70,90,1
112,INT1336,2020,2021,2,7,80,120,1
113,ELE1433,2020,2021,2,2,50,90,1
114,BAS1204,2021,2022,1,6,50,140,1
115,INT1330,2021,2022,1,3,120,150,1
118,ELE1319,2020,2021,1,2,120,150,1
121,INT1341,2020,2021,2,1,100,200,1
135,INT1319,2020,2021,2,3,120,150,1
142,INT1330,2020,2021,3,4,123,125,1
144,INT1323,2020,2021,3,4,120,130,1
145,ELE1433,2020,2021,3,12,123,142,1
147,INT1336,2020,2021,1,1,120,150,1
148,INT1332,2020,2021,1,1,111,111,1
150,INT1323,2020,2021,1,1,120,150,1
152,INT1328,2020,2021,1,1,80,100,1
153,INT1306,2020,2021,3,1,15,20,1
